id,depot_lat,depot_long,drive_limit,duty_limit,start_date,end_date,weekday,start_time,end_time,off_duty
24,46.8385846,-92.1815681,10,15,1/1/2022,,7,15:00,2:30,FALSE
25,46.8385846,-92.1815681,10,15,1/1/2022,,1,6:00,19:00,FALSE
25,46.8385846,-92.1815681,10,15,1/1/2022,,2,6:00,19:00,FALSE
25,46.8385846,-92.1815681,10,15,1/1/2022,,3,6:00,19:00,FALSE
25,46.8385846,-92.1815681,10,15,1/1/2022,,4,6:00,19:00,FALSE
25,46.8385846,-92.1815681,10,15,1/1/2022,,5,6:00,19:00,FALSE
25,46.8385846,-92.1815681,10,15,1/1/2022,,6,6:00,19:00,TRUE
25,46.8385846,-92.1815681,10,15,1/1/2022,,7,6:00,19:00,TRUE
26,46.8385846,-92.1815681,10,15,1/1/2022,,1,15:00,2:30,FALSE
26,46.8385846,-92.1815681,10,15,1/1/2022,,2,15:00,2:30,FALSE
26,46.8385846,-92.1815681,10,15,1/1/2022,,3,15:00,2:30,FALSE
26,46.8385846,-92.1815681,10,15,1/1/2022,,4,15:00,2:30,FALSE
26,46.8385846,-92.1815681,10,15,1/1/2022,,5,15:00,2:30,FALSE
26,46.8385846,-92.1815681,10,15,1/1/2022,,6,15:00,2:30,TRUE
26,46.8385846,-92.1815681,10,15,1/1/2022,,7,15:00,2:30,TRUE
27,46.8385846,-92.1815681,10,15,1/1/2022,,1,6:00,19:00,TRUE
27,46.8385846,-92.1815681,10,15,1/1/2022,,2,6:00,19:00,TRUE
27,46.8385846,-92.1815681,10,15,1/1/2022,,3,6:00,19:00,TRUE
27,46.8385846,-92.1815681,10,15,1/1/2022,,4,6:00,19:00,TRUE
27,46.8385846,-92.1815681,10,15,1/1/2022,,5,6:00,19:00,TRUE
27,46.8385846,-92.1815681,10,15,1/1/2022,,6,6:00,19:00,FALSE
27,46.8385846,-92.1815681,10,15,1/1/2022,,7,6:00,19:00,FALSE
28,44.8849345,-93.2131232,10,15,1/1/2022,,1,3:30,15:00,FALSE
28,44.8849345,-93.2131232,10,15,1/1/2022,,2,3:30,15:00,FALSE
28,44.8849345,-93.2131232,10,15,1/1/2022,,3,3:30,15:00,FALSE
28,44.8849345,-93.2131232,10,15,1/1/2022,,4,3:30,15:00,FALSE
28,44.8849345,-93.2131232,10,15,1/1/2022,,5,3:30,15:00,FALSE
28,44.8849345,-93.2131232,10,15,1/1/2022,,6,3:30,15:00,TRUE
28,44.8849345,-93.2131232,10,15,1/1/2022,,7,3:30,15:00,TRUE
29,44.8849345,-93.2131232,10,15,1/1/2022,,1,3:30,15:00,FALSE
29,44.8849345,-93.2131232,10,15,1/1/2022,,2,3:30,15:00,FALSE
29,44.8849345,-93.2131232,10,15,1/1/2022,,3,3:30,15:00,FALSE
29,44.8849345,-93.2131232,10,15,1/1/2022,,4,3:30,15:00,FALSE
29,44.8849345,-93.2131232,10,15,1/1/2022,,5,3:30,15:00,FALSE
29,44.8849345,-93.2131232,10,15,1/1/2022,,6,3:30,15:00,TRUE
29,44.8849345,-93.2131232,10,15,1/1/2022,,7,3:30,15:00,TRUE
30,44.8849345,-93.2131232,10,15,1/1/2022,,1,10:30,22:30,FALSE
30,44.8849345,-93.2131232,10,15,1/1/2022,,2,10:30,22:30,FALSE
30,44.8849345,-93.2131232,10,15,1/1/2022,,3,10:30,22:30,FALSE
30,44.8849345,-93.2131232,10,15,1/1/2022,,4,10:30,22:30,FALSE
30,44.8849345,-93.2131232,10,15,1/1/2022,,5,10:30,22:30,FALSE
30,44.8849345,-93.2131232,10,15,1/1/2022,,6,10:30,22:30,TRUE
30,44.8849345,-93.2131232,10,15,1/1/2022,,7,10:30,22:30,TRUE
31,44.8849345,-93.2131232,10,15,1/1/2022,,1,10:30,22:30,FALSE
31,44.8849345,-93.2131232,10,15,1/1/2022,,2,10:30,22:30,FALSE
31,44.8849345,-93.2131232,10,15,1/1/2022,,3,10:30,22:30,FALSE
31,44.8849345,-93.2131232,10,15,1/1/2022,,4,10:30,22:30,FALSE
31,44.8849345,-93.2131232,10,15,1/1/2022,,5,10:30,22:30,FALSE
31,44.8849345,-93.2131232,10,15,1/1/2022,,6,10:30,22:30,TRUE
31,44.8849345,-93.2131232,10,15,1/1/2022,,7,10:30,22:30,TRUE
32,44.8849345,-93.2131232,10,15,1/1/2022,,1,23:00,11:00,FALSE
32,44.8849345,-93.2131232,10,15,1/1/2022,,2,23:00,11:00,FALSE
32,44.8849345,-93.2131232,10,15,1/1/2022,,3,23:00,11:00,FALSE
32,44.8849345,-93.2131232,10,15,1/1/2022,,4,23:00,11:00,FALSE
32,44.8849345,-93.2131232,10,15,1/1/2022,,5,23:00,11:00,FALSE
32,44.8849345,-93.2131232,10,15,1/1/2022,,6,23:00,11:00,TRUE
32,44.8849345,-93.2131232,10,15,1/1/2022,,7,23:00,11:00,TRUE
33,44.8849345,-93.2131232,10,15,1/1/2022,,1,23:00,11:00,FALSE
33,44.8849345,-93.2131232,10,15,1/1/2022,,2,23:00,11:00,FALSE
33,44.8849345,-93.2131232,10,15,1/1/2022,,3,23:00,11:00,FALSE
33,44.8849345,-93.2131232,10,15,1/1/2022,,4,23:00,11:00,FALSE
33,44.8849345,-93.2131232,10,15,1/1/2022,,5,23:00,11:00,FALSE
33,44.8849345,-93.2131232,10,15,1/1/2022,,6,23:00,11:00,TRUE
33,44.8849345,-93.2131232,10,15,1/1/2022,,7,23:00,11:00,TRUE
34,44.8849345,-93.2131232,10,15,1/1/2022,,1,20:30,7:30,FALSE
34,44.8849345,-93.2131232,10,15,1/1/2022,,2,20:30,7:30,FALSE
34,44.8849345,-93.2131232,10,15,1/1/2022,,3,20:30,7:30,FALSE
34,44.8849345,-93.2131232,10,15,1/1/2022,,4,20:30,7:30,FALSE
34,44.8849345,-93.2131232,10,15,1/1/2022,,5,20:30,7:30,FALSE
34,44.8849345,-93.2131232,10,15,1/1/2022,,6,20:30,7:30,TRUE
34,44.8849345,-93.2131232,10,15,1/1/2022,,7,20:30,7:30,TRUE
35,44.8849345,-93.2131232,10,15,1/1/2022,,1,20:30,7:30,FALSE
35,44.8849345,-93.2131232,10,15,1/1/2022,,2,20:30,7:30,FALSE
35,44.8849345,-93.2131232,10,15,1/1/2022,,3,20:30,7:30,FALSE
35,44.8849345,-93.2131232,10,15,1/1/2022,,4,20:30,7:30,FALSE
35,44.8849345,-93.2131232,10,15,1/1/2022,,5,20:30,7:30,FALSE
35,44.8849345,-93.2131232,10,15,1/1/2022,,6,20:30,7:30,TRUE
35,44.8849345,-93.2131232,10,15,1/1/2022,,7,20:30,7:30,TRUE
36,44.8849345,-93.2131232,10,15,1/1/2022,,1,6:00,19:00,FALSE
36,44.8849345,-93.2131232,10,15,1/1/2022,,2,6:00,19:00,FALSE
36,44.8849345,-93.2131232,10,15,1/1/2022,,3,6:00,19:00,FALSE
36,44.8849345,-93.2131232,10,15,1/1/2022,,4,6:00,19:00,FALSE
36,44.8849345,-93.2131232,10,15,1/1/2022,,5,6:00,19:00,FALSE
36,44.8849345,-93.2131232,10,15,1/1/2022,,6,6:00,19:00,TRUE
36,44.8849345,-93.2131232,10,15,1/1/2022,,7,6:00,19:00,TRUE
37,44.8849345,-93.2131232,10,15,1/1/2022,,1,6:00,19:00,FALSE
37,44.8849345,-93.2131232,10,15,1/1/2022,,2,6:00,19:00,FALSE
37,44.8849345,-93.2131232,10,15,1/1/2022,,3,6:00,19:00,FALSE
37,44.8849345,-93.2131232,10,15,1/1/2022,,4,6:00,19:00,FALSE
37,44.8849345,-93.2131232,10,15,1/1/2022,,5,6:00,19:00,FALSE
37,44.8849345,-93.2131232,10,15,1/1/2022,,6,6:00,19:00,TRUE
37,44.8849345,-93.2131232,10,15,1/1/2022,,7,6:00,19:00,TRUE
38,44.8849345,-93.2131232,10,15,1/1/2022,,1,15:00,2:30,FALSE
